Fecha;Marca;Modelo;Kilometraje;Motor;Transmision;Precio;Provincia;Descripcion;Nombre;ID
1/2/2020;Chevrolet;Auto;10000;1200;Automatico;14000;Guayas;Ponemos a la venta nuestro Chevrolet Groove 2020, un SUV compacto que combina estilo, versatilidad y tecnología. Esta SUV ha sido cuidada con esmero y se encuentra en estado impecable, lista para llevar a tu familia a nuevas aventuras con comodidad y seguridad.;Chevrolet Groove;10000
23/4/2008;Hyundai;Pesado;20000;3000;Manual;20000;Pichincha;Pongo a la venta mi Hyundai HD65 del año 2020, un vehículo comercial confiable y resistente que ha demostrado su valía en diversas condiciones de trabajo. Este camión ligero está diseñado para cumplir con las exigencias del día a día en el transporte de carga, ofreciendo rendimiento, durabilidad y comodidad para el conductor.;Hyundai HD65;10001
3/7/2019;Suzuki;Moto;3000;600;Cadena;9000;Santa Elena;Vendo mi Suzuki RMZ 250 2019, una moto de motocross que ha sido cuidada meticulosamente y está lista para la pista. Esta moto ofrece un rendimiento excepcional, ideal para quienes buscan potencia, agilidad y fiabilidad en sus aventuras off-road;Suzuki RMZ 250;10002
2/1/2013;Chevrolet;Auto;3000;1200;Automatico;15000;Guayas;Vendo mi Chevrolet Sail 2013, un sedán compacto que ha sido mi fiel compañero de viaje. El coche está en excelente estado, tanto mecánica como estéticamente, y ha recibido un mantenimiento regular. Ideal para quienes buscan un vehículo confiable, económico y con buen rendimiento.;Chevrolet Sail;10003
15/8/2017;Toyota;Auto;25000;1800;Automatico;28000;El Oro;Pongo a la venta mi Toyota Corolla 2017 en excelente estado. Este sedán ha sido utilizado principalmente para viajes en carretera y se ha mantenido con cuidado. Espacioso, cómodo y con un motor confiable, es ideal para la ciudad y viajes largos.;Toyota Corolla;10004
10/6/2020;Ford;Pickup;15000;3500;Manual;45000;Esmeraldas;Venta urgente de mi Ford F-150 2020, una pickup potente y versátil que combina lujo y rendimiento. Ideal para trabajo pesado o uso diario, con capacidad todoterreno y tecnología avanzada.;Ford F-150;10005
5/9/2015;Nissan;Auto;38000;1600;Manual;1900;Manabi ;Se vende Nissan Sentra 2015 en excelente estado. Este sedán ha sido utilizado principalmente para viajes cortos en la ciudad. Cómodo, económico y con bajo mantenimiento, es ideal para familias pequeñas o uso personal.;Nissan Sentra;10006
20/11/2018;Honda;Moto;5000;500;Cadena;7000;Quevedo;Honda CB500X 2018 en venta, una moto versátil y ágil perfecta para aventuras en carretera o fuera de ella. Se ha mantenido con cuidado y está lista para nuevos desafíos.;Honda cb500x;10007
12/3/2016;Mazda;Auto;30000;2000;Automatico;22000;Pichincha;Vendo Mazda 3 2016 en excelente estado, un auto compacto con un diseño deportivo y características de seguridad avanzadas. Ideal para conducir en la ciudad con comodidad y estilo.;Mazda 3;10008
8/7/2022;Chevrolet;Camioneta;10000;2500;Manual;20000;Ambato;Chevrolet Colorado 2022 en venta, una camioneta robusta y potente ideal para trabajo o aventuras familiares. Espaciosa, segura y con tecnología avanzada.;Chevrolet Colorado;10009
14/9/2019;KIA;Auto;15000;1600;Automatico;20000;Guayas;Se vende Kia Rio 2019, un auto compacto con estilo y rendimiento. Perfecto para la ciudad, económico en combustible y con características de seguridad avanzadas.;Kia Rio;10010
30/5/2014;Hyundai;Camioneta;60000;2200;Automatico;17000;Pichincha;Hyundai Tucson 2014 en venta, una camioneta SUV con amplio espacio y buen rendimiento. Ideal para familias o aventuras al aire libre.;Hyundai Tucson;10011
17/10/2021;Ford;Auto;8000;2000;Manual;26000;Santo Domingo;Ford Focus 2021 en excelente estado, un auto compacto con tecnología avanzada y diseño deportivo. Perfecto para la ciudad y viajes largos con comodidad y estilo.;Ford Focus;10012
11/6/2019;Volkswagen;Auto;18000;1400;Automatico;23000;Quevedo;Volkswagen Golf 2019 en venta, un hatchback con diseño elegante y rendimiento eficiente. Perfecto para conducir en la ciudad y en carretera.;Volkswagen Golf;10013
22/3/2016;Jeep;SUV;35000;2400;Manual;30000;Manabi ;Jeep Cherokee 2016 en excelente estado, una SUV robusta y versátil ideal para aventuras todoterreno. Espaciosa, segura y con tecnología avanzada.;Jeep Cherokee;10014
28/5/2020;Chevrolet;Auto;12000;1800;Automatico;27000;Santa Elena;Chevrolet Cruze 2020 en venta, un sedán compacto con estilo y tecnología avanzada. Ideal para la ciudad, cómodo y con buen rendimiento.;Chevrolet Cruze;10015
18/11/2018;Mitsubishi;SUV;22000;2000;Automatico;24000;Loja;Mitsubishi Outlander 2018 en excelente estado, una SUV espaciosa y versátil, ideal para familias y aventuras. Con buen rendimiento y tecnología avanzada.;Mitsubishi Outlander;10016
19/2/2018;Renault;Auto;20000;1500;Manual;21000;Azuay;Renault Duster 2018 en excelente estado, un SUV compacto ideal para la ciudad y aventuras off-road. Espacioso, seguro y con buen rendimiento.;Renault Duste;10017
